* FA Pulse Height correction with a [0]-[1]*exp(-[2]*x) formula
*sector             a0             a1             a2
    1       0.832874        1.19326    4.45549e-05
    2       0.800021       0.907725    7.75678e-06
    3        1.47273        1.47351   -3.90802e-05
    4       0.802999        1.04366    9.29762e-05
    5       0.829365        1.02127    4.58652e-05
    6       0.915571        1.17006    1.58694e-05
    7       0.874857        1.11996   -1.31845e-05
    8        1.05229        1.26721    2.18183e-06
    9       0.800007        1.09289    0.000112008
   10        1.36807        1.85989    8.69717e-05
   11       0.804709       0.873389    1.60732e-06
   12       0.862329        1.08945     1.3596e-05
   13       0.800581       0.960319    5.14101e-05
   14            0.8        1.30732    0.000212373
   15        1.01887        1.09693   -3.01111e-05
   16       0.826117        1.07264    3.43689e-05
   17       0.815878        1.22716    4.76937e-05
   18       0.800391        1.30043    6.11181e-05
