*telescope     CsI num  Normalization (V/MeV)  Gradient (1/um)
         0           0       0.00661527      1.04124e-06
         0           1       0.00670939      1.08263e-06
         0           2        0.0069556      1.12669e-06
         0           3       0.00682671      1.01437e-06
         1           0       0.00700482      1.43832e-06
         1           1       0.00687452      1.21155e-06
         1           2       0.00697537      1.66943e-06
         1           3       0.00666629      1.29463e-06
         2           0        0.0068351      1.61496e-06
         2           1        0.0061549      1.32596e-06
         2           2       0.00704038      1.48298e-06
         2           3       0.00676892      1.74724e-06
         3           0       0.00698123      1.71817e-06
         3           1       0.00718436       1.5966e-06
         3           2       0.00497983      2.61294e-06
         3           3       0.00700177      1.37127e-06
         4           0       0.00647529      9.18328e-07
         4           1       0.00655292      8.45472e-07
         4           2       0.00714238      1.03996e-06
         4           3       0.00689298      9.74267e-07
         5           0       0.00677261      6.10605e-07
         5           1       0.00788232       1.3116e-06
         5           2       0.00832722      1.02557e-06
         5           3         0.011534            3e-06
         6           0       0.00653177      1.37394e-06
         6           1        0.0069881       1.4444e-06
         6           2       0.00668339      1.69959e-06
         6           3       0.00646529      1.23454e-06
         7           0        0.0067556      1.16155e-06
         7           1       0.00720543      1.65298e-06
         7           2       0.00695806       1.4134e-06
         7           3       0.00694514      1.49808e-06
         8           0        0.0066215       1.3206e-06
         8           1       0.00685153      2.11669e-06
         8           2        0.0068407            3e-06
         8           3       0.00660299            3e-06
         9           0       0.00642945            3e-06
         9           1       0.00625421      1.23793e-06
         9           2       0.00668805            3e-06
         9           3       0.00703977            3e-06
        10           0       0.00704558      2.37864e-06
        10           1       0.00738685      2.23924e-06
        10           2       0.00767107            3e-06
        10           3       0.00696645            3e-06
        11           0       0.00662699       1.6976e-06
        11           1       0.00685927            3e-06
        11           2       0.00691435            3e-06
        11           3        0.0069629       5.1975e-07
