*Tele EF EB theta(degree) phi(degree)
   0  0  0       26.0554     185.869
   0  0  1       26.0258     185.091
   0  0  2       26.0003     184.310
   0  0  3       25.9791     183.528
   0  0  4       25.9620     182.743
   0  0  5       25.9491     181.957
   0  0  6       25.9405     181.170
   0  0  7       25.9362     180.381
   0  0  8       25.9361     179.592
   0  0  9       25.9403     178.803
   0  0 10       25.9488     178.013
   0  0 11       25.9616     177.224
   0  0 12       25.9786     176.434
   0  0 13       26.0000     175.646
   0  0 14       26.0256     174.859
   0  0 15       26.0554     174.073
   0  0 16       26.0896     173.289
   0  0 17       26.1279     172.507
   0  0 18       26.1705     171.727
   0  0 19       26.2173     170.949
   0  0 20       26.2682     170.175
   0  0 21       26.3232     169.403
   0  0 22       26.3824     168.635
   0  0 23       26.4456     167.870
   0  0 24       26.5128     167.109
   0  0 25       26.5841     166.352
   0  0 26       26.6592     165.599
   0  0 27       26.7383     164.851
   0  0 28       26.8212     164.107
   0  0 29       26.9079     163.369
   0  0 30       26.9983     162.635
   0  0 31       27.0924     161.907
   0  1  0       26.3974     185.805
   0  1  1       26.3683     185.036
   0  1  2       26.3433     184.264
   0  1  3       26.3224     183.491
   0  1  4       26.3057     182.715
   0  1  5       26.2931     181.938
   0  1  6       26.2847     181.160
   0  1  7       26.2806     180.381
   0  1  8       26.2806     179.601
   0  1  9       26.2848     178.821
   0  1 10       26.2933     178.040
   0  1 11       26.3060     177.260
   0  1 12       26.3229     176.480
   0  1 13       26.3440     175.701
   0  1 14       26.3694     174.923
   0  1 15       26.3990     174.146
   0  1 16       26.4327     173.371
   0  1 17       26.4706     172.597
   0  1 18       26.5127     171.826
   0  1 19       26.5589     171.057
   0  1 20       26.6093     170.291
   0  1 21       26.6637     169.528
   0  1 22       26.7221     168.768
   0  1 23       26.7846     168.012
   0  1 24       26.8510     167.259
   0  1 25       26.9213     166.510
   0  1 26       26.9956     165.765
   0  1 27       27.0737     165.024
   0  1 28       27.1556     164.288
   0  1 29       27.2412     163.557
   0  1 30       27.3306     162.831
   0  1 31       27.4236     162.110
   0  2  0       26.7398     185.743
   0  2  1       26.7112     184.982
   0  2  2       26.6866     184.219
   0  2  3       26.6662     183.455
   0  2  4       26.6498     182.688
   0  2  5       26.6375     181.920
   0  2  6       26.6293     181.151
   0  2  7       26.6253     180.381
   0  2  8       26.6254     179.610
   0  2  9       26.6297     178.838
   0  2 10       26.6381     178.067
   0  2 11       26.6508     177.295
   0  2 12       26.6676     176.525
   0  2 13       26.6885     175.754
   0  2 14       26.7136     174.985
   0  2 15       26.7429     174.217
   0  2 16       26.7763     173.451
   0  2 17       26.8138     172.686
   0  2 18       26.8554     171.923
   0  2 19       26.9010     171.163
   0  2 20       26.9508     170.405
   0  2 21       27.0045     169.651
   0  2 22       27.0623     168.899
   0  2 23       27.1240     168.150
   0  2 24       27.1896     167.405
   0  2 25       27.2591     166.664
   0  2 26       27.3325     165.927
   0  2 27       27.4096     165.194
   0  2 28       27.4906     164.466
   0  2 29       27.5752     163.742
   0  2 30       27.6634     163.022
   0  2 31       27.7553     162.308
   0  3  0       27.0825     185.682
   0  3  1       27.0544     184.930
   0  3  2       27.0303     184.176
   0  3  3       27.0103     183.419
   0  3  4       26.9942     182.662
   0  3  5       26.9822     181.902
   0  3  6       26.9742     181.142
   0  3  7       26.9704     180.380
   0  3  8       26.9706     179.618
   0  3  9       26.9749     178.855
   0  3 10       26.9834     178.093
   0  3 11       26.9959     177.330
   0  3 12       27.0126     176.568
   0  3 13       27.0333     175.807
   0  3 14       27.0582     175.046
   0  3 15       27.0871     174.287
   0  3 16       27.1202     173.529
   0  3 17       27.1573     172.773
   0  3 18       27.1984     172.018
   0  3 19       27.2436     171.266
   0  3 20       27.2927     170.517
   0  3 21       27.3459     169.770
   0  3 22       27.4029     169.027
   0  3 23       27.4639     168.286
   0  3 24       27.5287     167.549
   0  3 25       27.5974     166.816
   0  3 26       27.6699     166.086
   0  3 27       27.7461     165.360
   0  3 28       27.8261     164.639
   0  3 29       27.9097     163.922
   0  3 30       27.9969     163.210
   0  3 31       28.0877     162.503
   0  4  0       27.4256     185.622
   0  4  1       27.3980     184.879
   0  4  2       27.3744     184.133
   0  4  3       27.3547     183.385
   0  4  4       27.3389     182.636
   0  4  5       27.3272     181.885
   0  4  6       27.3195     181.133
   0  4  7       27.3158     180.380
   0  4  8       27.3161     179.626
   0  4  9       27.3205     178.872
   0  4 10       27.3289     178.118
   0  4 11       27.3414     177.364
   0  4 12       27.3579     176.611
   0  4 13       27.3785     175.858
   0  4 14       27.4031     175.105
   0  4 15       27.4318     174.355
   0  4 16       27.4645     173.605
   0  4 17       27.5012     172.857
   0  4 18       27.5418     172.111
   0  4 19       27.5865     171.368
   0  4 20       27.6351     170.626
   0  4 21       27.6876     169.887
   0  4 22       27.7440     169.152
   0  4 23       27.8042     168.419
   0  4 24       27.8683     167.689
   0  4 25       27.9362     166.963
   0  4 26       28.0078     166.241
   0  4 27       28.0831     165.523
   0  4 28       28.1621     164.809
   0  4 29       28.2447     164.099
   0  4 30       28.3309     163.394
   0  4 31       28.4206     162.693
   0  5  0       27.7690     185.564
   0  5  1       27.7419     184.828
   0  5  2       27.7187     184.091
   0  5  3       27.6994     183.351
   0  5  4       27.6840     182.610
   0  5  5       27.6725     181.868
   0  5  6       27.6650     181.124
   0  5  7       27.6614     180.379
   0  5  8       27.6619     179.634
   0  5  9       27.6663     178.889
   0  5 10       27.6747     178.143
   0  5 11       27.6871     177.397
   0  5 12       27.7035     176.652
   0  5 13       27.7240     175.907
   0  5 14       27.7484     175.164
   0  5 15       27.7767     174.421
   0  5 16       27.8091     173.680
   0  5 17       27.8454     172.940
   0  5 18       27.8856     172.202
   0  5 19       27.9298     171.466
   0  5 20       27.9778     170.733
   0  5 21       28.0297     170.002
   0  5 22       28.0855     169.274
   0  5 23       28.1450     168.549
   0  5 24       28.2083     167.827
   0  5 25       28.2754     167.108
   0  5 26       28.3462     166.393
   0  5 27       28.4206     165.682
   0  5 28       28.4987     164.975
   0  5 29       28.5803     164.272
   0  5 30       28.6655     163.573
   0  5 31       28.7541     162.879
   0  6  0       28.1127     185.507
   0  6  1       28.0861     184.779
   0  6  2       28.0633     184.050
   0  6  3       28.0443     183.318
   0  6  4       28.0293     182.585
   0  6  5       28.0181     181.851
   0  6  6       28.0108     181.115
   0  6  7       28.0074     180.379
   0  6  8       28.0079     179.642
   0  6  9       28.0124     178.905
   0  6 10       28.0208     178.167
   0  6 11       28.0332     177.430
   0  6 12       28.0495     176.693
   0  6 13       28.0697     175.956
   0  6 14       28.0939     175.221
   0  6 15       28.1220     174.486
   0  6 16       28.1540     173.753
   0  6 17       28.1899     173.021
   0  6 18       28.2297     172.291
   0  6 19       28.2734     171.563
   0  6 20       28.3209     170.837
   0  6 21       28.3722     170.114
   0  6 22       28.4273     169.394
   0  6 23       28.4862     168.676
   0  6 24       28.5487     167.961
   0  6 25       28.6150     167.250
   0  6 26       28.6850     166.542
   0  6 27       28.7585     165.838
   0  6 28       28.8357     165.138
   0  6 29       28.9163     164.442
   0  6 30       29.0005     163.750
   0  6 31       29.0881     163.062
   0  7  0       28.4566     185.451
   0  7  1       28.4305     184.731
   0  7  2       28.4081     184.010
   0  7  3       28.3896     183.286
   0  7  4       28.3748     182.561
   0  7  5       28.3639     181.835
   0  7  6       28.3568     181.107
   0  7  7       28.3536     180.379
   0  7  8       28.3542     179.650
   0  7  9       28.3587     178.920
   0  7 10       28.3672     178.191
   0  7 11       28.3795     177.462
   0  7 12       28.3956     176.732
   0  7 13       28.4157     176.004
   0  7 14       28.4397     175.276
   0  7 15       28.4675     174.550
   0  7 16       28.4992     173.824
   0  7 17       28.5347     173.100
   0  7 18       28.5741     172.378
   0  7 19       28.6173     171.658
   0  7 20       28.6642     170.940
   0  7 21       28.7150     170.224
   0  7 22       28.7695     169.511
   0  7 23       28.8276     168.800
   0  7 24       28.8895     168.093
   0  7 25       28.9550     167.389
   0  7 26       29.0242     166.688
   0  7 27       29.0969     165.991
   0  7 28       29.1731     165.297
   0  7 29       29.2528     164.608
   0  7 30       29.3360     163.922
   0  7 31       29.4226     163.241
   0  8  0       28.8008     185.397
   0  8  1       28.7752     184.685
   0  8  2       28.7532     183.970
   0  8  3       28.7350     183.255
   0  8  4       28.7206     182.537
   0  8  5       28.7099     181.819
   0  8  6       28.7030     181.099
   0  8  7       28.7000     180.378
   0  8  8       28.7007     179.657
   0  8  9       28.7053     178.936
   0  8 10       28.7137     178.214
   0  8 11       28.7260     177.493
   0  8 12       28.7421     176.771
   0  8 13       28.7620     176.051
   0  8 14       28.7857     175.331
   0  8 15       28.8133     174.612
   0  8 16       28.8447     173.894
   0  8 17       28.8798     173.178
   0  8 18       28.9188     172.463
   0  8 19       28.9615     171.750
   0  8 20       29.0079     171.040
   0  8 21       29.0581     170.331
   0  8 22       29.1119     169.625
   0  8 23       29.1695     168.922
   0  8 24       29.2306     168.222
   0  8 25       29.2954     167.525
   0  8 26       29.3637     166.831
   0  8 27       29.4356     166.140
   0  8 28       29.5109     165.453
   0  8 29       29.5897     164.770
   0  8 30       29.6719     164.091
   0  8 31       29.7575     163.416
   0  9  0       29.1452     185.343
   0  9  1       29.1200     184.639
   0  9  2       29.0985     183.932
   0  9  3       29.0807     183.224
   0  9  4       29.0665     182.514
   0  9  5       29.0561     181.803
   0  9  6       29.0495     181.091
   0  9  7       29.0466     180.378
   0  9  8       29.0474     179.665
   0  9  9       29.0521     178.951
   0  9 10       29.0605     178.237
   0  9 11       29.0727     177.523
   0  9 12       29.0887     176.809
   0  9 13       29.1084     176.096
   0  9 14       29.1320     175.384
   0  9 15       29.1593     174.673
   0  9 16       29.1903     173.963
   0  9 17       29.2251     173.254
   0  9 18       29.2637     172.547
   0  9 19       29.3059     171.841
   0  9 20       29.3519     171.138
   0  9 21       29.4015     170.437
   0  9 22       29.4547     169.738
   0  9 23       29.5116     169.042
   0  9 24       29.5720     168.348
   0  9 25       29.6361     167.658
   0  9 26       29.7036     166.971
   0  9 27       29.7746     166.287
   0  9 28       29.8491     165.607
   0  9 29       29.9270     164.930
   0  9 30       30.0082     164.257
   0  9 31       30.0928     163.588
   0 10  0       29.4898     185.291
   0 10  1       29.4651     184.594
   0 10  2       29.4439     183.894
   0 10  3       29.4265     183.193
   0 10  4       29.4126     182.491
   0 10  5       29.4025     181.788
   0 10  6       29.3961     181.083
   0 10  7       29.3933     180.378
   0 10  8       29.3943     179.672
   0 10  9       29.3990     178.966
   0 10 10       29.4074     178.259
   0 10 11       29.4196     177.553
   0 10 12       29.4354     176.847
   0 10 13       29.4551     176.141
   0 10 14       29.4784     175.436
   0 10 15       29.5054     174.732
   0 10 16       29.5362     174.030
   0 10 17       29.5707     173.328
   0 10 18       29.6088     172.628
   0 10 19       29.6506     171.930
   0 10 20       29.6960     171.234
   0 10 21       29.7451     170.540
   0 10 22       29.7977     169.848
   0 10 23       29.8540     169.159
   0 10 24       29.9137     168.472
   0 10 25       29.9770     167.788
   0 10 26       30.0438     167.108
   0 10 27       30.1140     166.431
   0 10 28       30.1876     165.757
   0 10 29       30.2646     165.086
   0 10 30       30.3449     164.420
   0 10 31       30.4285     163.757
   0 11  0       29.8345     185.240
   0 11  1       29.8103     184.550
   0 11  2       29.7895     183.858
   0 11  3       29.7724     183.164
   0 11  4       29.7589     182.469
   0 11  5       29.7490     181.773
   0 11  6       29.7428     181.075
   0 11  7       29.7402     180.377
   0 11  8       29.7413     179.679
   0 11  9       29.7460     178.980
   0 11 10       29.7545     178.281
   0 11 11       29.7666     177.582
   0 11 12       29.7824     176.883
   0 11 13       29.8018     176.185
   0 11 14       29.8250     175.487
   0 11 15       29.8518     174.791
   0 11 16       29.8823     174.095
   0 11 17       29.9164     173.401
   0 11 18       29.9541     172.708
   0 11 19       29.9955     172.017
   0 11 20       30.0404     171.328
   0 11 21       30.0889     170.641
   0 11 22       30.1410     169.956
   0 11 23       30.1966     169.273
   0 11 24       30.2557     168.593
   0 11 25       30.3183     167.916
   0 11 26       30.3842     167.242
   0 11 27       30.4536     166.571
   0 11 28       30.5264     165.904
   0 11 29       30.6025     165.239
   0 11 30       30.6819     164.579
   0 11 31       30.7645     163.922
   0 12  0       30.1794     185.190
   0 12  1       30.1556     184.506
   0 12  2       30.1353     183.821
   0 12  3       30.1185     183.135
   0 12  4       30.1053     182.447
   0 12  5       30.0957     181.758
   0 12  6       30.0897     181.068
   0 12  7       30.0872     180.377
   0 12  8       30.0884     179.686
   0 12  9       30.0932     178.994
   0 12 10       30.1017     178.302
   0 12 11       30.1137     177.611
