*F(0)/B(1)       tel     strip     Intercepts          Slope 
         0         0         0       -1.04343     0.00697894
         0         0         1      -0.998252     0.00718867
         0         0         2       -1.07994     0.00698391
         0         0         3       -1.12397     0.00711338
         0         0         4       -1.08616     0.00697695
         0         0         5       -1.15204      0.0070914
         0         0         6      -0.916751     0.00697112
         0         0         7       -1.19086     0.00709587
         0         0         8       -1.02374      0.0069787
         0         0         9       -1.28155     0.00709397
         0         0        10       -1.03955     0.00699311
         0         0        11       -1.15029     0.00710694
         0         0        12       -1.19455     0.00695817
         0         0        13       -1.20584     0.00708974
         0         0        14       -1.06839     0.00700529
         0         0        15       -1.23301     0.00708894
         0         0        16         -1.087     0.00701039
         0         0        17       -1.18123     0.00709954
         0         0        18      -0.978819     0.00699643
         0         0        19       -1.13556     0.00706001
         0         0        20       -1.00333     0.00703034
         0         0        21       -1.07831      0.0070274
         0         0        22       -1.05283     0.00701567
         0         0        23      -0.992833     0.00701538
         0         0        24       -1.07641     0.00701375
         0         0        25       -1.16244     0.00704405
         0         0        26       -1.12822     0.00705001
         0         0        27       -1.25508     0.00703721
         0         0        28       -1.05807      0.0070006
         0         0        29       -1.22104     0.00704932
         0         0        30       -1.08699      0.0070075
         0         0        31       -1.15214     0.00697773
         0         1         0       -1.10484     0.00734528
         0         1         1       -1.25136     0.00718784
         0         1         2       -1.17806      0.0073701
         0         1         3       -1.15223     0.00715264
         0         1         4        -1.1071     0.00738836
         0         1         5       -1.16619     0.00715693
         0         1         6       -1.10581     0.00739563
         0         1         7       -1.23017       0.007166
         0         1         8       -1.21987     0.00738921
         0         1         9       -1.08476     0.00711144
         0         1        10       -1.09083     0.00741311
         0         1        11          -1.16     0.00713763
         0         1        12       -1.11472     0.00737939
         0         1        13       -1.19541     0.00714398
         0         1        14       -1.10993     0.00736134
         0         1        15       -1.30722     0.00712192
         0         1        16      -0.951283     0.00739212
         0         1        18       -1.14191     0.00736103
         0         1        19       -1.16911     0.00714212
         0         1        20       -1.19677     0.00740587
         0         1        21       -1.14154     0.00708256
         0         1        22        -1.2653     0.00737311
         0         1        23       -1.28105     0.00709438
         0         1        24       -1.17251     0.00738906
         0         1        25       -1.19138     0.00707411
         0         1        26       -1.14171      0.0073792
         0         1        27       -1.18822     0.00705468
         0         1        28        -1.1744     0.00737968
         0         1        29       -1.12283     0.00703176
         0         1        30       -1.11544      0.0073736
         0         1        31       -1.16846     0.00706567
         0         2         1       -1.25007     0.00732258
         0         2         2       -1.08425     0.00723503
         0         2         3       -1.11049     0.00735284
         0         2         4       -1.16244      0.0072778
         0         2         5       -1.15685     0.00736077
         0         2         6       -1.14626      0.0072311
         0         2         7       -1.19675     0.00730159
         0         2         8       -1.14449     0.00725973
         0         2         9       -1.25717     0.00734475
	 0         2        10       -1.02114     0.00725027
         0         2        11       -1.17068     0.00733463
         0         2        12        -1.1053     0.00720295
         0         2        13       -1.16606      0.0073512
         0         2        14       -1.14524     0.00722345
         0         2        15       -1.27566     0.00734889
         0         2        16       -1.14577     0.00725341
         0         2        17       -1.16385     0.00736215
         0         2        18      -0.993501     0.00722513
         0         2        19       -1.19731     0.00737004
         0         2        20       -1.13108     0.00722379
         0         2        21       -1.09413     0.00739231
         0         2        22       -1.16513     0.00722686
         0         2        23       -1.21534     0.00737968
         0         2        24       -1.17858     0.00718708
         0         2        25         -1.149     0.00733907
         0         2        26       -1.21061     0.00721899
         0         2        27       -1.30085     0.00734558
         0         2        28       -1.19397     0.00718536
         0         2        29       -1.20857     0.00734317
         0         2        30       -1.22136     0.00719797
         0         2        31       -1.18321     0.00732964
         0         3         0       -1.06709     0.00706228
         0         3         1        -1.1729     0.00713747
         0         3         2       -1.04454     0.00708975
         0         3         3       -1.21326     0.00712366
         0         3         4       -1.05927     0.00710021
         0         3         5       -1.24865     0.00708612
         0         3         6       -1.06675     0.00708277
         0         3         7       -1.20204     0.00707139
