*    FB  Tele Strip  Intertcept   	Slope
     0     0     0   -1.033872    0.00697541
     0     0     1   -0.974339    0.00718587
     0     0     2   -1.038813    0.00696374
     0     0     3   -1.071961    0.00708746
     0     0     4   -1.055635    0.00696230
     0     0     5   -1.116791    0.00707968
     0     0     6   -0.887917    0.00695994
     0     0     7   -1.135142    0.00706317
     0     0     8   -0.987911    0.00695936
     0     0     9   -1.229511    0.00706738
     0     0    10   -1.002617    0.00697450
     0     0    11   -1.134574    0.00711326
     0     0    12   -1.163731    0.00694518
     0     0    13   -1.197744    0.00710342
     0     0    14   -1.035532    0.00698746
     0     0    15   -1.202563    0.00707731
     0     0    16   -1.069643    0.00701060
     0     0    17   -1.131385    0.00707172
     0     0    18   -0.952176    0.00698440
     0     0    19   -1.111873    0.00705581
     0     0    20   -0.981902    0.00702532
     0     0    21   -1.037716    0.00700596
     0     0    22   -1.028364    0.00700379
     0     0    23   -0.960264    0.00700024
     0     0    24   -1.047372    0.00699901
     0     0    25   -1.157566    0.00705413
     0     0    26   -1.110296    0.00703994
     0     0    27   -1.275532    0.00706619
     0     0    28   -1.040352    0.00699056
     0     0    29   -1.216276    0.00705619
     0     0    30   -1.090679    0.00700798
     0     0    31   -1.170177    0.00697728
     0     1     0   -1.054828    0.00732272
     0     1     1   -1.183154    0.00715558
     0     1     2   -1.141130    0.00735734
     0     1     3   -1.091782    0.00712609
     0     1     4   -1.059581    0.00736530
     0     1     5   -1.083290    0.00711155
     0     1     6   -1.066726    0.00738096
     0     1     7   -1.176129    0.00714325
     0     1     8   -1.178144    0.00737008
     0     1     9   -1.048043    0.00710407
     0     1    10   -1.056276    0.00739482
     0     1    11   -1.097784    0.00710741
     0     1    12   -1.072404    0.00736197
     0     1    13   -1.164753    0.00714219
     0     1    14   -1.089434    0.00735987
     0     1    15   -1.262811    0.00710854
     0     1    16   -0.940780    0.00739815
     0     1    17   -0.940780    0.00739815
     0     1    18   -1.127253    0.00736492
     0     1    19   -1.102551    0.00710672
     0     1    20   -1.170062    0.00739627
     0     1    21   -1.084662    0.00705337
     0     1    22   -1.237019    0.00736541
     0     1    23   -1.236949    0.00707549
