*telescope      Si num    F(1)B(0)      Intercept            Slope  SaturationPoint    Para_constant      Para_Linear   Para_quadratic         CHI2dof
         0           0           1        126.259          3.80725          1502.51               -1               -1               -1         0.189554
         0           1           1        42.8202          3.73648             1200               -1               -1               -1         0.309117
         0           2           1        182.339          3.82679             1200               -1               -1               -1        0.0451177
         0           3           1        126.475          3.80077          1501.54               -1               -1               -1         0.182499
         0           4           1         111.17          3.82453             1200               -1               -1               -1        0.0827335
         0           5           1        59.0661          3.83333             1200               -1               -1               -1         0.146241
         0           6           1        94.8066          3.85095             1200               -1               -1               -1         0.070648
         0           7           1        49.4406          3.85265          1502.92               -1               -1               -1         0.139681
         0           8           1        145.919          3.83241             1200               -1               -1               -1        0.0541122
         0           9           1        100.579          3.82746          1501.53               -1               -1               -1        0.0608765
         0          10           1        153.635          3.82045             1200               -1               -1               -1        0.0563518
         0          11           1        146.227          3.80251             1200               -1               -1               -1        0.0399213
         0          12           1        140.317          3.86071          1502.07               -1               -1               -1          0.16058
         0          13           1        106.019          3.79924          1529.52               -1               -1               -1         0.141404
         0          14           1        93.6802          3.80045             1200               -1               -1               -1          0.11387
         0          15           1        71.5604          3.82596             1200               -1               -1               -1         0.103068
         0          16           1        133.714          3.81359             1200               -1               -1               -1        0.0665773
         0          17           1        145.525          3.77766             1200               -1               -1               -1        0.0549689
         0          18           1        91.5655          3.79523             1200               -1               -1               -1        0.0847067
         0          19           1        93.3506          3.79537             1200               -1               -1               -1         0.137841
         0          20           1        48.3562          3.76503             1200               -1               -1               -1        0.0914803
         0          21           1        127.225          3.83284             1200               -1               -1               -1        0.0357337
         0          22           1        167.086          3.78908             1200               -1               -1               -1         0.175691
         0          23           1        90.8326          3.81778             1200               -1               -1               -1         0.111833
         0          24           1        95.5306          3.79478             1200               -1               -1               -1         0.232705
         0          25           1         70.758          3.81415          1585.64               -1               -1               -1          0.11227
         0          26           1         156.76          3.74685          1854.65               -1               -1               -1         0.830337
         0          27           1        155.231          3.83954          1502.78               -1               -1               -1         0.053765
         0          28           1        123.171          3.79836             1200               -1               -1               -1        0.0770612
         0          29           1        126.163          3.79928             1200               -1               -1               -1         0.116896
         0          30           1        35.3316          3.79199             1200               -1               -1               -1         0.255069
         0          31           1        86.2964          3.84982             1200               -1               -1               -1        0.0777127
         1           0           1        165.102          3.69568          2039.98               -1               -1               -1           6.5228
         1           1           1        151.974          3.76419          1502.17               -1               -1               -1          1.15628
         1           2           1        116.949          3.80519          1520.68               -1               -1               -1         0.173304
         1           3           1        119.851          3.80536          1502.14               -1               -1               -1        0.0735241
         1           4           1        33.4988          3.81015             1200               -1               -1               -1         0.192715
         1           5           1        52.0059          3.81106             1200               -1               -1               -1         0.136057
         1           6           1        38.0771          3.79906             1200               -1               -1               -1          0.17467
         1           7           1        61.2477          3.78308          1501.71               -1               -1               -1         0.601041
         1           8           1        117.688          3.83584             1200               -1               -1               -1        0.0960708
         1           9           1        14.0922          3.81158          1503.32               -1               -1               -1        0.0736497
         1          10           1        146.335           3.7605             1200               -1               -1               -1         0.238123
         1          11           1        91.1096          3.81075             1200               -1               -1               -1        0.0839713
         1          12           1         116.71          3.80552             1200               -1               -1               -1        0.0717156
         1          13           1        187.188          3.82059          1501.83               -1               -1               -1        0.0640163
         1          14           1        113.774          3.83181             1200               -1               -1               -1        0.0836845
         1          15           1        66.6275          3.83735             1200               -1               -1               -1         0.147018
         1          16           1        59.2617          3.76724          1502.08               -1               -1               -1         0.389133
         1          17           1        42.2974          3.75578          1573.67               -1               -1               -1         0.163143
         1          18           1        97.6926          3.78823             1200               -1               -1               -1         0.151446
         1          19           1        77.6629           3.7582             1200               -1               -1               -1         0.325654
         1          20           1        155.237          3.73331          1502.54               -1               -1               -1         0.693558
         1          21           1        71.8831          3.78466             1200               -1               -1               -1        0.0818924
         1          22           1        169.772          3.77334             1200               -1               -1               -1        0.0582499
         1          23           1        148.722          3.74589             1200               -1               -1               -1        0.0709261
         1          24           1        117.157          3.74987             1200               -1               -1               -1        0.0976708
         1          25           1        142.825           3.7823             1200               -1               -1               -1        0.0657733
         1          26           1        55.3412          3.78453          1500.95               -1               -1               -1        0.0976932
         1          27           1         73.137          3.78314             1200               -1               -1               -1        0.0618433
         1          28           1        159.066          3.78863             1200               -1               -1               -1         0.051539
         1          29           1        52.6522          3.77891          1502.07               -1               -1               -1        0.0693916
         1          30           1        133.606           3.7908          1521.14               -1               -1               -1         0.121836
         1          31           1        93.8655          3.72304          1501.95               -1               -1               -1         0.507908
         2           0           1        37.5705          3.80864          1501.05               -1               -1               -1         0.140721
         2           1           1        94.9851          3.83183             1200               -1               -1               -1        0.0472636
         2           2           1        21.1871            3.787          1502.45               -1               -1               -1         0.188617
         2           3           1        75.7118          3.80565          1501.06               -1               -1               -1        0.0622652
         2           4           1        62.7434          3.76927             1200               -1               -1               -1         0.316259
         2           5           1         75.764          3.81731             1200               -1               -1               -1        0.0514064
