*FB(F=1)Tele	Strip	 IsBad
0	0	00 	  1
0	0	01 	  0
0	0	02 	  0
0	0	03 	  0
0	0	04 	  0
0	0	05 	  0
0	0	06 	  0
0	0	07 	  0
0	0	08 	  0
0	0	09 	  0
0	0	10 	  0
0	0	11 	  0
0	0	12 	  0
0	0	13 	  0
0	0	14 	  0
0	0	15 	  1
0	0	16 	  1
0	0	17 	  0
0	0	18 	  0
0	0	19 	  0
0	0	20 	  0
0	0	21 	  0
0	0	22 	  0
0	0	23 	  0
0	0	24 	  0
0	0	25 	  0
0	0	26 	  0
0	0	27 	  0
0	0	28 	  0
0	0	29 	  0
0	0	30 	  0
0	0	31 	  1
0	1	00 	  1
0	1	01 	  0
0	1	02 	  0
0	1	03 	  0
0	1	04 	  0
0	1	05 	  0
0	1	06 	  0
0	1	07 	  0
0	1	08 	  0
0	1	09 	  0
0	1	10 	  0
0	1	11 	  0
0	1	12 	  0
0	1	13 	  0
0	1	14 	  0
0	1	15 	  1
0	1	16 	  1
0	1	17 	  0
0	1	18 	  0
0	1	19 	  0
0	1	20 	  0
0	1	21 	  0
0	1	22 	  0
0	1	23 	  0
0	1	24 	  0
0	1	25 	  0
0	1	26 	  0
0	1	27 	  0
0	1	28 	  0
0	1	29 	  0
0	1	30 	  0
0	1	31 	  1
0	2	00 	  1
0	2	01 	  0
0	2	02 	  0
0	2	03 	  0
0	2	04 	  0
0	2	05 	  0
0	2	06 	  0
0	2	07 	  0
0	2	08 	  0
0	2	09 	  0
0	2	10 	  0
0	2	11 	  0
0	2	12 	  0
0	2	13 	  0
0	2	14 	  0
0	2	15 	  1
0	2	16 	  1
0	2	17 	  0
0	2	18 	  0
0	2	19 	  0
0	2	20 	  0
0	2	21 	  0
0	2	22 	  0
0	2	23 	  0
0	2	24 	  0
0	2	25 	  0
0	2	26 	  0
0	2	27 	  0
0	2	28 	  0
0	2	29 	  0
0	2	30 	  0
0	2	31 	  1
0	3	00 	  1
0	3	01 	  0
0	3	02 	  0
0	3	03 	  0
0	3	04 	  0
0	3	05 	  1
0	3	06 	  1
0	3	07 	  1
0	3	08 	  1
0	3	09 	  1
0	3	10 	  1
0	3	11 	  1
0	3	12 	  0
0	3	13 	  0
0	3	14 	  0
0	3	15 	  1
0	3	16 	  1
0	3	17 	  0
0	3	18 	  0
0	3	19 	  0
0	3	20 	  0
0	3	21 	  0
0	3	22 	  0
0	3	23 	  0
0	3	24 	  0
0	3	25 	  0
0	3	26 	  0
0	3	27 	  0
0	3	28 	  0
0	3	29 	  0
0	3	30 	  0
0	3	31 	  1
0	4	00 	  1
0	4	01 	  0
0	4	02 	  0
0	4	03 	  0
0	4	04 	  0
0	4	05 	  0
0	4	06 	  0
0	4	07 	  0
0	4	08 	  0
0	4	09 	  0
0	4	10 	  0
0	4	11 	  0
0	4	12 	  0
0	4	13 	  0
0	4	14 	  0
0	4	15 	  1
0	4	16 	  1
0	4	17 	  0
0	4	18 	  0
0	4	19 	  0
0	4	20 	  0
0	4	21 	  0
0	4	22 	  0
0	4	23 	  0
0	4	24 	  0
0	4	25 	  0
0	4	26 	  0
0	4	27 	  0
0	4	28 	  0
0	4	29 	  0
0	4	30 	  0
0	4	31 	  1
0	5	00 	  1
0	5	01 	  0
0	5	02 	  0
0	5	03 	  0
0	5	04 	  0
0	5	05 	  0
0	5	06 	  0
0	5	07 	  0
0	5	08 	  0
0	5	09 	  0
0	5	10 	  0
0	5	11 	  0
0	5	12 	  0
0	5	13 	  0
0	5	14 	  0
0	5	15 	  1
