*detector	bad(1)/good(0)
R01_01	1
R01_02	1
R01_03	1
R01_04	1
R01_05	1
R01_06	1
R02_01	0
R02_02	0
R02_03	0
R02_04	0
R02_05	0
R02_06	0
R02_07	0
R02_08	0
R02_09	0
R02_10	0
R03_01	0
R03_02	0
R03_03	0
R03_04	1
R03_05	1
R03_06	1
R03_07	0
R03_08	0
R03_09	0
R03_10	0
R03_11	0
R03_12	0
R04_01	0
R04_02	0
R04_03	0
R04_04	1
R04_05	1
R04_06	1
R04_07	0
R04_08	0
R04_09	0
R04_10	0
R04_11	0
R04_12	0
R05_01	0
R05_02	0
R05_03	0
R05_04	1
R05_05	1
R05_06	1
R05_07	0
R05_08	0
R05_09	0
R05_10	0
R05_11	0
R05_12	0
R05_13	0
R05_14	0
R06_01	1
R06_02	1
R06_03	1
R06_04	1
R06_05	1
R06_06	1
R06_07	1
R06_08	1
R06_09	1
R06_10	1
R06_11	1
R06_12	1
R06_13	1
R06_14	1
R07_01	0
R07_02	0
R07_03	0
R07_04	0
R07_05	0
R07_06	0
R07_07	0
R07_08	0
R07_09	0
R07_10	0
R07_11	0
R07_12	0
R08_01	0
R08_02	0
R08_03	0
R08_04	0
R08_05	0
R08_06	0
R08_07	0
R08_08	0
R08_09	0
R08_10	0
R09_01	1
R09_02	1
R09_03	1
R09_04	1
R09_05	1
R09_06	1
