*detector	theta	half theta	DeltaOmega (msr)	distance (cm)
R01_01	9	5	28.2	11
R01_02	9	5	28.2	11
R01_03	9	5	28.2	11
R01_04	9	5	28.2	11
R01_05	9	5	28.2	11
R01_06	9	5	28.2	11
R02_01	21	7	54.4	8
R02_02	21	7	54.4	8
R02_03	21	7	54.4	8
R02_04	21	7	54.4	8
R02_05	21	7	54.4	8
R02_06	21	7	54.4	8
R02_07	21	7	54.4	8
R02_08	21	7	54.4	8
R02_09	21	7	54.4	8
R02_10	21	7	54.4	8
R03_01	36	8	85.3	6
R03_02	36	8	85.3	6
R03_03	36	8	85.3	6
R03_04	36	8	85.3	6
R03_05	36	8	85.3	6
R03_06	36	8	85.3	6
R03_07	36	8	85.3	6
R03_08	36	8	85.3	6
R03_09	36	8	85.3	6
R03_10	36	8	85.3	6
R03_11	36	8	85.3	6
R03_12	36	8	85.3	6
R04_01	52	8	113.2	5
R04_02	52	8	113.2	5
R04_03	52	8	113.2	5
R04_04	52	8	113.2	5
R04_05	52	8	113.2	5
R04_06	52	8	113.2	5
R04_07	52	8	113.2	5
R04_08	52	8	113.2	5
R04_09	52	8	113.2	5
R04_10	52	8	113.2	5
R04_11	52	8	113.2	5
R04_12	52	8	113.2	5
R05_01	70	10	144.7	5
R05_02	70	10	144.7	5
R05_03	70	10	144.7	5
R05_04	70	10	144.7	5
R05_05	70	10	144.7	5
R05_06	70	10	144.7	5
R05_07	70	10	144.7	5
R05_08	70	10	144.7	5
R05_09	70	10	144.7	5
R05_10	70	10	144.7	5
R05_11	70	10	144.7	5
R05_12	70	10	144.7	5
R05_13	70	10	144.7	5
R05_14	70	10	144.7	5
R06_01	90	10	154.1	5
R06_02	90	10	154.1	5
R06_03	90	10	154.1	5
R06_04	90	10	154.1	5
R06_05	90	10	154.1	5
R06_06	90	10	154.1	5
R06_07	90	10	154.1	5
R06_08	90	10	154.1	5
R06_09	90	10	154.1	5
R06_10	90	10	154.1	5
R06_11	90	10	154.1	5
R06_12	90	10	154.1	5
R06_13	90	10	154.1	5
R06_14	90	10	154.1	5
R07_01	111.5	11.5	192.1	4.5
R07_02	111.5	11.5	192.1	4.5
R07_03	111.5	11.5	192.1	4.5
R07_04	111.5	11.5	192.1	4.5
R07_05	111.5	11.5	192.1	4.5
R07_06	111.5	11.5	192.1	4.5
R07_07	111.5	11.5	192.1	4.5
R07_08	111.5	11.5	192.1	4.5
R07_09	111.5	11.5	192.1	4.5
R07_10	111.5	11.5	192.1	4.5
R07_11	111.5	11.5	192.1	4.5
R07_12	111.5	11.5	192.1	4.5
R08_01	135	12	182.9	4.7
R08_02	135	12	182.9	4.7
R08_03	135	12	182.9	4.7
R08_04	135	12	182.9	4.7
R08_05	135	12	182.9	4.7
R08_06	135	12	182.9	4.7
R08_07	135	12	182.9	4.7
R08_08	135	12	182.9	4.7
R08_09	135	12	182.9	4.7
R08_10	135	12	182.9	4.7
R09_01	135	12	182.9	4.7
R09_02	159	12	154.5	5
R09_03	159	12	154.5	5
R09_04	159	12	154.5	5
R09_05	159	12	154.5	5
R09_06	159	12	154.5	5
