*Multiplicity	bhat	bhat error	b	b error
1	1	0.0113085	9.264984943	0.627367172
2	0.922820376	0.00914455	7.890037515	0.394982219
3	0.853844667	0.00834534	6.754643899	0.314714252
4	0.791738564	0.00753505	5.807755379	0.248172662
5	0.736092241	0.00709233	5.020063349	0.220498434
6	0.685742643	0.00671913	4.356794054	0.19459214
7	0.633252036	0.00628486	3.715334387	0.169808744
8	0.578755658	0.00596161	3.103381866	0.150123891
9	0.52546028	0.00566927	2.558141149	0.136251993
10	0.477265748	0.00527734	2.110402302	0.115916399
11	0.427041619	0.00486459	1.689604761	0.094164983
12	0.371742818	0.00441351	1.280353494	0.075959943
13	0.31509165	0.00412539	0.919853162	0.060954642
14	0.261011635	0.00371669	0.631196312	0.045864836
15	0.205507292	0.00341896	0.391290396	0.03471755
16	0.157875074	0.00338061	0.23092548	0.025043794
17	0.115295653	0.00346344	0.123160256	0.018670982
18	0.085667334	0.00321553	0.067994725	0.012170076
19	0.055193592	0.00394806	0.028224225	0.008927974
20	0.040763169	0.00345092	0.015395032	0.005167317
21	0.020381584	0.00595105	0.003848758	0.003914944
22	0.016641494	0.00595025	0.002565839	0.00266314
23	0.011767313	0.00594946	0.001282919	0.001408327
