*Multiplicity	bhat	bhat error	b	b error
1	1	0.0096341	8.269250106	0.461047759
2	0.915052253	0.00888934	6.92401368	0.381446581
3	0.861128555	0.00795251	6.131999466	0.290453525
4	0.812336732	0.00737106	5.456803443	0.240512456
5	0.76212664	0.0069288	4.803086557	0.207622177
6	0.708536498	0.00657191	4.151361757	0.184038885
7	0.653550358	0.00625563	3.532028846	0.162428769
8	0.597962788	0.00592584	2.956748903	0.140975046
9	0.541154495	0.00547922	2.421634903	0.115704515
10	0.477800758	0.00499542	1.887816577	0.09107335
11	0.405999683	0.00481409	1.363067981	0.078697588
12	0.338896477	0.00422622	0.949730176	0.056246301
13	0.269924027	0.00400212	0.602489129	0.042702975
14	0.208707216	0.00397302	0.360197802	0.031177043
15	0.154325205	0.0041027	0.196942683	0.023397556
16	0.115404975	0.00392779	0.110132421	0.015525611
17	0.076140536	0.00418942	0.047939995	0.009462515
18	0.043361639	0.00514654	0.015548107	0.005527254
19	0.025034854	0.00599444	0.005182702	0.00275177
