
*Multiplicity	bhat	bhat error	b	b error
1	1	0.0118058	1.04E+01	0.807306875
2	0.916546982	0.0100424	8.74E+00	0.551230454
3	0.858465046	0.00902116	7.67E+00	0.416680426
4	0.809927687	0.00838072	6.83E+00	0.343866495
5	0.76750615	0.00830008	6.13E+00	0.347955723
6	0.729851423	0.00789103	5.54E+00	0.306766326
7	0.691542712	0.00751838	4.98E+00	0.272698683
8	0.652128223	0.00718719	4.43E+00	0.245118423
9	0.611084602	0.00684525	3.89E+00	0.218288475
10	0.568338735	0.00644598	3.36E+00	0.188912069
11	0.522104821	0.00603577	2.84E+00	0.161518911
12	0.472705284	0.00574249	2.33E+00	0.142555691
13	0.425612287	0.00541486	1.89E+00	0.121884896
14	0.378332412	0.00512627	1.49E+00	0.103450911
15	0.331985344	0.00467379	1.15E+00	0.081105576
16	0.280011427	0.00444961	8.16E-01	0.06593492
17	0.232536833	0.00419984	5.63E-01	0.051154266
18	0.186626947	0.00379933	3.62E-01	0.035937473
19	0.136409691	0.00390441	1.94E-01	0.026413014
20	0.100097348	0.00391971	1.04E-01	0.018250865
21	0.069073732	0.00365947	4.97E-02	0.010702631
22	0.035669522	0.00505557	1.32E-02	0.006753938
23	0.025222161	0.00505063	6.62E-03	0.003973501
24	0.01261108	0.00618074	1.66E-03	0.001813511
