** Neutron Wall position of the cosmic ray peak
*Detector    center (ch)   sigma (ch)
NWAbar24        465.32        131.115
NWAbar01       496.952        123.126
NWAbar02       438.008        126.285
NWAbar03       398.748        126.103
NWAbar04       693.946        161.014
NWAbar05       505.676        128.069
NWAbar06       856.048        175.116
NWAbar07       487.455        132.677
NWAbar08       859.796        179.511
NWAbar09       806.641         165.23
NWAbar10       811.029        178.565
NWAbar11       738.613         166.99
NWAbar12       577.406        138.715
NWAbar13       816.679        176.752
NWAbar14       798.492        173.029
NWAbar15       689.977        163.634
NWAbar16       787.326        172.186
NWAbar17       808.575         164.91
NWAbar18       606.528        141.902
NWAbar19       872.177        198.299
NWAbar20        747.22        167.521
NWAbar21       861.511        173.901
NWAbar22       850.413        177.658
NWAbar23       754.447        162.631
