** Neutron Wall position of the cosmic ray peak
*Detector    center (ch)   sigma (ch)
NWBbar24        1090.03 	 207.9
NWBbar01        843.229        176.407
NWBbar02        828.338        176.337
NWBbar03        659.861        149.118
NWBbar04        870.302        165.568
NWBbar05        1051.18        208.514
NWBbar06         866.14        174.077
NWBbar07        802.023        156.296
NWBbar08        769.247        163.988
NWBbar09        740.966        161.202
NWBbar10        888.763        174.945
NWBbar11        784.785        163.795
NWBbar12        855.455        168.304
NWBbar13        1000.08 	199.48
NWBbar14        708.182        159.917
NWBbar15        794.942        165.002
NWBbar16        853.253        168.408
NWBbar17        747.872        156.147
NWBbar18        777.012        170.742
NWBbar19        762.832        161.398
NWBbar20        838.707        170.776
NWBbar21        825.084        165.039
NWBbar22        875.735        169.688
NWBbar23        814.877        163.615
