*numbar	Lcenter	Rcenter	match_num
NWBbar01      789.92  767.527 1000
NWBbar02      808.603 754.692 1000
NWBbar03      657.791 568.896 1000
NWBbar04      818.925 847.589 1000
NWBbar05      1090.69 916.567 1000
NWBbar06      873.553 769.857 1000
NWBbar07      763.816 745.718 1000
NWBbar08      718.605 722.911 1000
NWBbar09      716.233 673.493 1000
NWBbar10      757.26  916.917 1000
NWBbar11      718.369 755.846 1000
NWBbar12      855.015 803.744 1000
NWBbar13      974.949 944.157 1000
NWBbar14      674.352 651.704 1000
NWBbar15      792.857 711.202 1000
NWBbar16      784.38  862.99  1000
NWBbar17      707.426 708.616 1000
NWBbar18      719.678 723.723 1000
NWBbar19      697.838 731.189 1000
NWBbar20      805.614 829.214 1000
NWBbar21      779.795 838.375 1000
NWBbar22      798.868 885.276 1000
NWBbar23      766.194 777.312 1000
NWBbar24      1038.12 1035.12 1000
