*num_bar X_Right Y_Right Z_Right	   
NWBbar01   205.569 -98.303 403.344
NWBbar02   205.54  -89.731 403.334
NWBbar03   205.51  -81.158 403.324
NWBbar04   205.48  -72.586 403.315
NWBbar05   205.451 -64.013 403.305
NWBbar06   205.421 -55.441 403.295
NWBbar07   205.392 -46.868 403.285
NWBbar08   205.362 -38.296 403.276
NWBbar09   205.332 -29.723 403.266
NWBbar10   205.303 -21.151 403.256
NWBbar11   205.273 -12.579 403.246
NWBbar12   205.244 -4.006  403.236
NWBbar13   205.214 4.566 403.227
NWBbar14   205.184 13.139  403.217
NWBbar15   205.155 21.711  403.207
NWBbar16   205.125 30.284  403.197
NWBbar17   205.096 38.856  403.188
NWBbar18   205.066 47.429  403.178
NWBbar19   205.036 56.001  403.168
NWBbar20   205.007 64.573  403.158
NWBbar21   204.977 73.146  403.149
NWBbar22   204.948 81.718  403.139
NWBbar23   204.918 90.291  403.129
NWBbar24   204.888 98.863  403.119
