*numbar	a	b	c	d	e
NWBbar01	273.061	-0.01116	0.009178	-0.02088	0.99905	   
NWBbar02	273.887	-0.01959	0.008397	-0.01147	0.993148	   
NWBbar03	208.764	-0.09307	0.010769	-0.02463	0.987372	   
NWBbar04	290.045	-0.02745	0.008555	-0.01055	0.990915	   
NWBbar05	343.852	0.055224	0.009055	-0.01842	1.00044	   
NWBbar06	284.023	-0.04965	0.009198	-0.01853	0.993219	   
NWBbar07	268.874	-0.02281	0.009488	-0.0147	0.982922	   
NWBbar08	251.193	0.054135	0.009444	-0.00655	0.99599	   
NWBbar09	239.294	0.001414	0.009121	-0.01933	0.995532	   
NWBbar10	309.915	0.058382	0.008702	0.007053	0.979996	   
NWBbar11	254.677	-0.0373	0.00881	-0.01218	0.999894	   
NWBbar12	292.123	0.095228	0.008545	3.37E-06	0.986067	   
NWBbar13	325.856	0.095255	0.00951	-0.01237	1.00136	   
NWBbar14	227.862	0.006205	0.009309	-0.01844	0.99892	   
NWBbar15	251.618	0.08604	0.00857	-0.05609	1.00617	   
NWBbar16	269.616	-0.03842	0.007823	-0.01895	1.01157	   
NWBbar17	227.728	-0.09886	0.008424	-0.0363	1.02009	   
NWBbar18	247.331	-0.00042	0.009686	0.005483	1.00231	   
NWBbar19	246.662	-0.12881	0.008617	-0.02361	0.999564	   
NWBbar20	284.85	0.06998	0.009365	-0.01997	0.98204	   
NWBbar21	290.467	-0.09456	0.008789	0.004666	0.976231	   
NWBbar22	298.966	-0.02643	0.00857	0.014798	0.985675	   
NWBbar23	255.945	-0.00743	0.0067	0.008511	1.01553	   
NWBbar24	347.169	-0.08439	0.0106	-0.03883	1.00309	 
