*Tele	EF	EB	theta	phi
0	0	0	25.7879	-176.424
0	0	1	25.7781	-177.167
0	0	2	25.7722	-177.912
0	0	3	25.77	-178.658
0	0	4	25.7717	-179.404
0	0	5	25.7771	179.849
0	0	6	25.7864	179.102
0	0	7	25.7995	178.356
0	0	8	25.8164	177.609
0	0	9	25.8372	176.864
0	0	10	25.8617	176.119
0	0	11	25.89	175.376
0	0	12	25.9222	174.633
0	0	13	25.9581	173.893
0	0	14	25.9978	173.154
0	0	15	26.0412	172.418
0	0	16	26.0883	171.684
0	0	17	26.1392	170.952
0	0	18	26.1937	170.223
0	0	19	26.2519	169.498
0	0	20	26.3136	168.775
0	0	21	26.379	168.056
0	0	22	26.4479	167.341
0	0	23	26.5204	166.629
0	0	24	26.5963	165.922
0	0	25	26.6756	165.218
0	0	26	26.7584	164.519
0	0	27	26.8444	163.825
0	0	28	26.9338	163.135
0	0	29	27.0265	162.45
0	0	30	27.1223	161.771
0	0	31	27.2213	161.096
0	1	0	26.1113	-176.444
0	1	1	26.1018	-177.179
0	1	2	26.096	-177.916
0	1	3	26.094	-178.654
0	1	4	26.0957	-179.392
0	1	5	26.1012	179.87
0	1	6	26.1105	179.131
0	1	7	26.1235	178.393
0	1	8	26.1403	177.655
0	1	9	26.1608	176.918
0	1	10	26.1852	176.181
0	1	11	26.2132	175.446
0	1	12	26.2451	174.712
0	1	13	26.2806	173.979
0	1	14	26.3199	173.248
0	1	15	26.3628	172.52
0	1	16	26.4095	171.793
0	1	17	26.4597	171.069
0	1	18	26.5137	170.348
0	1	19	26.5712	169.63
0	1	20	26.6323	168.915
0	1	21	26.6969	168.203
0	1	22	26.7651	167.495
0	1	23	26.8367	166.79
0	1	24	26.9117	166.09
0	1	25	26.9902	165.393
0	1	26	27.072	164.701
0	1	27	27.1571	164.013
0	1	28	27.2455	163.329
0	1	29	27.3371	162.651
0	1	30	27.4319	161.977
0	1	31	27.5298	161.308
0	2	0	26.435	-176.464
0	2	1	26.4257	-177.191
0	2	2	26.4201	-177.92
0	2	3	26.4183	-178.649
0	2	4	26.4201	-179.379
0	2	5	26.4256	179.89
0	2	6	26.4348	179.16
0	2	7	26.4478	178.429
0	2	8	26.4645	177.699
0	2	9	26.4849	176.97
0	2	10	26.509	176.242
0	2	11	26.5368	175.514
0	2	12	26.5683	174.788
0	2	13	26.6035	174.063
0	2	14	26.6423	173.34
0	2	15	26.6848	172.619
0	2	16	26.731	171.901
0	2	17	26.7807	171.184
0	2	18	26.8341	170.47
0	2	19	26.8909	169.76
0	2	20	26.9514	169.052
0	2	21	27.0153	168.347
0	2	22	27.0827	167.646
0	2	23	27.1535	166.948
0	2	24	27.2277	166.254
0	2	25	27.3053	165.564
0	2	26	27.3862	164.878
0	2	27	27.4703	164.197
0	2	28	27.5577	163.52
0	2	29	27.6483	162.847
0	2	30	27.742	162.179
0	2	31	27.8389	161.516
0	3	0	26.759	-176.483
0	3	1	26.75	-177.203
0	3	2	26.7446	-177.924
0	3	3	26.7428	-178.645
0	3	4	26.7447	-179.367
0	3	5	26.7503	179.91
0	3	6	26.7595	179.188
0	3	7	26.7724	178.465
0	3	8	26.789	177.743
0	3	9	26.8092	177.022
0	3	10	26.8331	176.301
0	3	11	26.8607	175.581
0	3	12	26.8919	174.863
0	3	13	26.9267	174.146
0	3	14	26.9652	173.43
0	3	15	27.0072	172.717
0	3	16	27.0529	172.005
0	3	17	27.1021	171.296
0	3	18	27.1548	170.59
0	3	19	27.2111	169.886
0	3	20	27.2709	169.186
0	3	21	27.3341	168.488
0	3	22	27.4007	167.793
0	3	23	27.4707	167.103
0	3	24	27.5441	166.415
0	3	25	27.6208	165.732
0	3	26	27.7008	165.052
0	3	27	27.7841	164.377
0	3	28	27.8705	163.706
0	3	29	27.9601	163.039
0	3	30	28.0528	162.377
0	3	31	28.1485	161.72
0	4	0	27.0833	-176.502
0	4	1	27.0745	-177.214
0	4	2	27.0693	-177.927
0	4	3	27.0677	-178.641
0	4	4	27.0696	-179.356
0	4	5	27.0752	179.93
0	4	6	27.0845	179.215
0	4	7	27.0973	178.5
0	4	8	27.1138	177.786
0	4	9	27.1339	177.072
0	4	10	27.1576	176.359
0	4	11	27.1849	175.647
0	4	12	27.2158	174.936
0	4	13	27.2503	174.226
0	4	14	27.2883	173.518
0	4	15	27.33	172.812
0	4	16	27.3751	172.108
0	4	17	27.4238	171.406
0	4	18	27.476	170.707
0	4	19	27.5317	170.01
0	4	20	27.5908	169.317
0	4	21	27.6533	168.626
0	4	22	27.7192	167.938
0	4	23	27.7885	167.254
0	4	24	27.861	166.573
0	4	25	27.9369	165.896
0	4	26	28.016	165.223
0	4	27	28.0983	164.554
0	4	28	28.1838	163.889
0	4	29	28.2724	163.228
0	4	30	28.364	162.572
0	4	31	28.4587	161.92
0	5	0	27.4078	-176.521
0	5	1	27.3993	-177.226
0	5	2	27.3942	-177.931
0	5	3	27.3928	-178.637
0	5	4	27.3948	-179.344
0	5	5	27.4005	179.949
0	5	6	27.4097	179.241
0	5	7	27.4225	178.534
0	5	8	27.4388	177.827
0	5	9	27.4588	177.121
0	5	10	27.4823	176.415
0	5	11	27.5094	175.711
0	5	12	27.54	175.007
0	5	13	27.5741	174.305
0	5	14	27.6118	173.605
0	5	15	27.653	172.906
0	5	16	27.6977	172.209
0	5	17	27.7459	171.514
0	5	18	27.7975	170.822
0	5	19	27.8526	170.132
0	5	20	27.9111	169.445
0	5	21	27.9729	168.761
0	5	22	28.0381	168.08
0	5	23	28.1066	167.402
0	5	24	28.1784	166.728
0	5	25	28.2534	166.057
0	5	26	28.3316	165.39
0	5	27	28.413	164.727
0	5	28	28.4975	164.068
0	5	29	28.5852	163.413
0	5	30	28.6758	162.763
0	5	31	28.7695	162.116
0	6	0	27.7326	-176.539
0	6	1	27.7243	-177.237
0	6	2	27.7194	-177.935
0	6	3	27.7181	-178.634
0	6	4	27.7203	-179.333
0	6	5	27.7259	179.967
0	6	6	27.7352	179.268
0	6	7	27.7479	178.568
0	6	8	27.7642	177.868
0	6	9	27.784	177.169
0	6	10	27.8073	176.471
0	6	11	27.8341	175.774
0	6	12	27.8644	175.077
0	6	13	27.8983	174.382
0	6	14	27.9356	173.689
0	6	15	27.9764	172.997
0	6	16	28.0206	172.307
0	6	17	28.0683	171.62
0	6	18	28.1194	170.934
0	6	19	28.1739	170.251
0	6	20	28.2317	169.571
0	6	21	28.2929	168.894
0	6	22	28.3573	168.219
0	6	23	28.4251	167.548
0	6	24	28.4961	166.88
0	6	25	28.5703	166.215
0	6	26	28.6477	165.554
0	6	27	28.7282	164.897
0	6	28	28.8118	164.244
0	6	29	28.8984	163.595
0	6	30	28.9881	162.95
0	6	31	29.0808	162.309
0	7	0	28.0576	-176.557
0	7	1	28.0495	-177.247
0	7	2	28.0449	-177.938
0	7	3	28.0437	-178.63
0	7	4	28.0459	-179.322
0	7	5	28.0516	179.986
0	7	6	28.0608	179.293
0	7	7	28.0735	178.601
0	7	8	28.0897	177.908
0	7	9	28.1094	177.216
0	7	10	28.1325	176.525
0	7	11	28.1591	175.835
0	7	12	28.1892	175.146
0	7	13	28.2227	174.458
0	7	14	28.2596	173.772
0	7	15	28.3	173.087
0	7	16	28.3438	172.404
0	7	17	28.391	171.723
0	7	18	28.4415	171.044
0	7	19	28.4954	170.368
0	7	20	28.5526	169.694
0	7	21	28.6132	169.023
0	7	22	28.6769	168.355
0	7	23	28.744	167.69
0	7	24	28.8142	167.028
0	7	25	28.8876	166.37
0	7	26	28.9641	165.715
0	7	27	29.0437	165.064
0	7	28	29.1264	164.416
0	7	29	29.2122	163.773
0	7	30	29.3009	163.133
0	7	31	29.3925	162.498
0	8	0	28.3829	-176.575
0	8	1	28.375	-177.258
0	8	2	28.3705	-177.942
0	8	3	28.3694	-178.626
0	8	4	28.3717	-179.311
0	8	5	28.3775	-179.996
0	8	6	28.3867	179.318
0	8	7	28.3994	178.633
0	8	8	28.4155	177.947
0	8	9	28.435	177.263
0	8	10	28.4579	176.579
0	8	11	28.4843	175.895
0	8	12	28.5141	175.213
0	8	13	28.5473	174.532
0	8	14	28.5839	173.853
0	8	15	28.6239	173.175
0	8	16	28.6672	172.499
0	8	17	28.7139	171.824
0	8	18	28.764	171.152
0	8	19	28.8173	170.483
0	8	20	28.8739	169.815
0	8	21	28.9338	169.151
0	8	22	28.9969	168.489
0	8	23	29.0632	167.83
0	8	24	29.1326	167.174
0	8	25	29.2052	166.522
0	8	26	29.2809	165.873
0	8	27	29.3597	165.227
0	8	28	29.4415	164.585
0	8	29	29.5263	163.948
0	8	30	29.6141	163.313
0	8	31	29.7047	162.683
0	9	0	28.7082	-176.592
0	9	1	28.7006	-177.268
0	9	2	28.6963	-177.945
0	9	3	28.6953	-178.622
0	9	4	28.6978	-179.301
0	9	5	28.7036	-179.979
0	9	6	28.7128	179.343
0	9	7	28.7254	178.664
0	9	8	28.7414	177.986
0	9	9	28.7608	177.308
0	9	10	28.7836	176.631
0	9	11	28.8097	175.955
0	9	12	28.8393	175.279
0	9	13	28.8722	174.605
0	9	14	28.9084	173.932
0	9	15	28.948	173.261
0	9	16	28.9909	172.591
0	9	17	29.0372	171.924
0	9	18	29.0867	171.258
0	9	19	29.1394	170.595
0	9	20	29.1955	169.934
0	9	21	29.2547	169.275
0	9	22	29.3171	168.62
0	9	23	29.3827	167.967
0	9	24	29.4514	167.317
0	9	25	29.5232	166.671
0	9	26	29.5981	166.027
0	9	27	29.676	165.388
0	9	28	29.757	164.751
0	9	29	29.8408	164.119
0	9	30	29.9276	163.49
0	9	31	30.0173	162.866
0	10	0	29.0338	-176.609
0	10	1	29.0263	-177.278
0	10	2	29.0222	-177.948
0	10	3	29.0214	-178.619
0	10	4	29.0239	-179.29
0	10	5	29.0298	-179.962
0	10	6	29.039	179.367
0	10	7	29.0516	178.695
0	10	8	29.0675	178.023
0	10	9	29.0868	177.352
0	10	10	29.1094	176.682
0	10	11	29.1353	176.012
0	10	12	29.1646	175.344
0	10	13	29.1972	174.676
0	10	14	29.2331	174.01
0	10	15	29.2723	173.345
0	10	16	29.3148	172.682
0	10	17	29.3606	172.021
0	10	18	29.4096	171.362
0	10	19	29.4618	170.705
0	10	20	29.5173	170.05
0	10	21	29.5759	169.398
0	10	22	29.6376	168.748
0	10	23	29.7025	168.101
0	10	24	29.7705	167.458
0	10	25	29.8416	166.817
0	10	26	29.9156	166.179
0	10	27	29.9927	165.545
0	10	28	30.0728	164.914
0	10	29	30.1557	164.287
0	10	30	30.2416	163.664
0	10	31	30.3303	163.044
0	11	0	29.3595	-176.626
0	11	1	29.3522	-177.288
0	11	2	29.3483	-177.951
0	11	3	29.3476	-178.615
0	11	4	29.3502	-179.28
0	11	5	29.3562	-179.945
0	11	6	29.3654	179.39
0	11	7	29.3779	178.725
0	11	8	29.3938	178.06
0	11	9	29.4129	177.396
0	11	10	29.4353	176.732
0	11	11	29.4611	176.069
0	11	12	29.4901	175.407
0	11	13	29.5224	174.746
0	11	14	29.558	174.086
0	11	15	29.5968	173.428
0	11	16	29.6389	172.771
0	11	17	29.6842	172.116
0	11	18	29.7327	171.463
0	11	19	29.7844	170.813
0	11	20	29.8393	170.164
0	11	21	29.8973	169.518
0	11	22	29.9584	168.874
0	11	23	30.0226	168.233
0	11	24	30.0899	167.595
0	11	25	30.1602	166.96
0	11	26	30.2335	166.328
0	11	27	30.3097	165.7
0	11	28	30.3889	165.074
0	11	29	30.471	164.452
0	11	30	30.5559	163.834
0	11	31	30.6437	163.22
0	12	0	29.6852	-176.642
0	12	1	29.6782	-177.298
0	12	2	29.6745	-177.955
0	12	3	29.6739	-178.612
0	12	4	29.6767	-179.27
0	12	5	29.6826	-179.928
0	12	6	29.6919	179.413
0	12	7	29.7044	178.755
