*Tele	EF	EB	theta	phi
0	0	0	37.0648	-175.634
0	0	1	37.0491	-176.202
0	0	2	37.0361	-176.771
0	0	3	37.0258	-177.341
0	0	4	37.0183	-177.912
0	0	5	37.0134	-178.483
0	0	6	37.0114	-179.055
0	0	7	37.012	-179.628
0	0	8	37.0154	179.799
0	0	9	37.0216	179.226
0	0	10	37.0306	178.652
0	0	11	37.0423	178.079
0	0	12	37.0567	177.506
0	0	13	37.074	176.933
0	0	14	37.094	176.36
0	0	15	37.1167	175.787
0	0	16	37.1422	175.215
0	0	17	37.1705	174.644
0	0	18	37.2015	174.074
0	0	19	37.2352	173.504
0	0	20	37.2716	172.936
0	0	21	37.3108	172.368
0	0	22	37.3526	171.802
0	0	23	37.3971	171.237
0	0	24	37.4443	170.673
0	0	25	37.4941	170.111
0	0	26	37.5466	169.551
0	0	27	37.6017	168.992
0	0	28	37.6593	168.435
0	0	29	37.7195	167.88
0	0	30	37.7823	167.327
0	0	31	37.8476	166.776
0	1	0	36.7226	-175.6
0	1	1	36.7066	-176.173
0	1	2	36.6933	-176.746
0	1	3	36.6827	-177.321
0	1	4	36.6749	-177.897
0	1	5	36.6698	-178.473
0	1	6	36.6675	-179.05
0	1	7	36.6681	-179.628
0	1	8	36.6714	179.794
0	1	9	36.6775	179.216
0	1	10	36.6864	178.638
0	1	11	36.6981	178.059
0	1	12	36.7126	177.481
0	1	13	36.7299	176.903
0	1	14	36.75	176.325
0	1	15	36.7729	175.748
0	1	16	36.7986	175.171
0	1	17	36.8271	174.595
0	1	18	36.8584	174.02
0	1	19	36.8924	173.445
0	1	20	36.9292	172.872
0	1	21	36.9687	172.3
0	1	22	37.0109	171.729
0	1	23	37.0559	171.159
0	1	24	37.1036	170.591
0	1	25	37.1539	170.024
0	1	26	37.2069	169.459
0	1	27	37.2626	168.896
0	1	28	37.3209	168.334
0	1	29	37.3817	167.775
0	1	30	37.4452	167.218
0	1	31	37.5112	166.662
0	2	0	36.3801	-175.565
0	2	1	36.3637	-176.142
0	2	2	36.35	-176.721
0	2	3	36.3392	-177.301
0	2	4	36.3311	-177.882
0	2	5	36.3258	-178.463
0	2	6	36.3234	-179.045
0	2	7	36.3237	-179.628
0	2	8	36.3269	179.789
0	2	9	36.3329	179.206
0	2	10	36.3418	178.623
0	2	11	36.3535	178.04
0	2	12	36.3681	177.456
0	2	13	36.3855	176.873
0	2	14	36.4057	176.29
0	2	15	36.4288	175.708
0	2	16	36.4547	175.126
0	2	17	36.4834	174.545
0	2	18	36.5149	173.965
0	2	19	36.5492	173.386
0	2	20	36.5864	172.807
0	2	21	36.6263	172.23
0	2	22	36.6689	171.654
0	2	23	36.7144	171.08
0	2	24	36.7625	170.507
0	2	25	36.8134	169.936
0	2	26	36.867	169.366
0	2	27	36.9232	168.798
0	2	28	36.9821	168.232
0	2	29	37.0437	167.668
0	2	30	37.1078	167.106
0	2	31	37.1745	166.547
0	3	0	36.0373	-175.529
0	3	1	36.0205	-176.112
0	3	2	36.0065	-176.696
0	3	3	35.9953	-177.28
0	3	4	35.9869	-177.866
0	3	5	35.9814	-178.453
0	3	6	35.9788	-179.04
0	3	7	35.979	-179.627
0	3	8	35.9821	179.785
0	3	9	35.988	179.196
0	3	10	35.9969	178.608
0	3	11	36.0086	178.019
0	3	12	36.0232	177.431
0	3	13	36.0407	176.843
0	3	14	36.061	176.255
0	3	15	36.0842	175.667
0	3	16	36.1103	175.081
0	3	17	36.1393	174.494
0	3	18	36.1711	173.909
0	3	19	36.2057	173.325
0	3	20	36.2432	172.742
0	3	21	36.2835	172.16
0	3	22	36.3266	171.579
0	3	23	36.3725	171
0	3	24	36.4212	170.422
0	3	25	36.4726	169.846
0	3	26	36.5267	169.271
0	3	27	36.5836	168.699
0	3	28	36.6431	168.128
0	3	29	36.7053	167.56
0	3	30	36.7702	166.993
0	3	31	36.8376	166.429
0	4	0	35.6941	-175.493
0	4	1	35.6769	-176.08
