*Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
0.001000	0.0870219 	0.0870219 	0.0722744 	0.0722744 	-	-	0.000167858	0.000278381	0.000135274
93.633957	52425.6   	52474.7   	52621     	52660.1   	433.38    	208.027   	144.931   	123.971   	142.539   
187.266914	176829    	177288    	177740    	177944    	1417.86   	657.27    	475.651   	396.392   	480.259   
280.899871	350910    	352353    	353673    	354151    	2709.86   	1253.39   	916.476   	761.025   	948.119   
374.532828	561868    	564801    	567466    	568312    	4172.92   	1948.11   	1423.7    	1186.72   	1505.94   
468.165785	801543    	805879    	810245    	811533    	5726.43   	2713.6    	1970.12   	1653.35   	2126.49   
561.798742	1.06415e+06	1.06944e+06	1.07573e+06	1.07752e+06	7320.24   	3531.49   	2538.32   	2147.33   	2790.8    
655.431699	1.34522e+06	1.35083e+06	1.35913e+06	1.36147e+06	8922.06   	4388.75   	3116.53   	2658.82   	3484.79   
749.064655	1.64122e+06	1.64648e+06	1.6568e+06	1.65974e+06	10511.6   	5277.13   	3696.9    	3180.74   	4198.1    
842.697612	1.94933e+06	1.95357e+06	1.96594e+06	1.9695e+06	12076.6   	6190.73   	4274.3    	3708.04   	4923.19   
936.330569	2.26737e+06	2.27e+06  	2.28443e+06	2.28864e+06	13609.3   	7124.95   	4845.2    	4236.98   	5654.41   
1029.963526	2.59342e+06	2.59394e+06	2.61054e+06	2.61542e+06	15105.5   	8076.84   	5407.4    	4764.87   	6387.57   
1123.596483	2.92588e+06	2.9239e+06	2.94286e+06	2.94842e+06	16563.4   	9044.39   	5959.52   	5289.75   	7119.53   
1217.229440	3.26346e+06	3.25874e+06	3.28029e+06	3.28655e+06	17981.4   	10024.8   	6500.6    	5810.08   	7847.84   
1310.862397	3.60507e+06	3.59744e+06	3.62194e+06	3.62891e+06	19360     	11017.1   	7030.16   	6324.82   	8570.71   
1404.495354	3.94971e+06	3.93916e+06	3.96704e+06	3.97472e+06	20700.1   	12020.4   	7548.15   	6833.29   	9286.96   
1498.128311	4.29659e+06	4.28319e+06	4.315e+06 	4.3234e+06	22002.7   	13034     	8054.53   	7334.96   	9995.58   
1591.761268	4.64503e+06	4.62896e+06	4.66532e+06	4.67444e+06	23268.9   	14057.2   	8549.38   	7829.43   	10695.8   
1685.394225	4.99441e+06	4.97593e+06	5.01755e+06	5.02739e+06	24500.4   	15089.6   	9033.03   	8316.54   	11387.3   
1779.027182	5.34421e+06	5.32369e+06	5.37137e+06	5.38194e+06	25697.3   	16130.9   	9505.36   	8795.9    	12069.4   
1872.660139	5.69398e+06	5.67184e+06	5.72639e+06	5.73772e+06	26863.2   	17179.9   	9967.37   	9267.93   	12742.4   
1966.293096	6.04334e+06	6.02008e+06	6.08243e+06	6.0945e+06	27998.8   	18236.2   	10419.2   	9732.49   	13406     
2059.926052	6.39185e+06	6.36808e+06	6.43933e+06	6.45215e+06	29102.3   	19300.5   	10860     	10188.8   	14059.1   
2153.559009	6.73938e+06	6.71568e+06	6.79677e+06	6.81033e+06	30181.2   	20371.5   	11292.3   	10638.5   	14703.8   
2247.191966	7.08562e+06	7.06264e+06	7.15466e+06	7.16896e+06	31233.8   	21449.9   	11715.4   	11081     	15339.3   
2340.824923	7.43036e+06	7.40879e+06	7.51287e+06	7.5279e+06	32261.4   	22535.7   	12129.8   	11516.5   	15965.6   
2434.457880	7.77341e+06	7.75398e+06	7.87129e+06	7.88706e+06	33265.2   	23628.7   	12535.8   	11945.1   	16582.9   
2528.090837	8.11459e+06	8.09807e+06	8.22982e+06	8.24632e+06	34246.3   	24728.4   	12933.6   	12366.9   	17191.3   
2621.723794	8.45377e+06	8.44095e+06	8.58838e+06	8.6056e+06	35205.6   	25834.7   	13323.6   	12782.1   	17791.1   
2715.356751	8.79082e+06	8.78252e+06	8.94688e+06	8.96482e+06	36144.2   	26947.4   	13706.1   	13190.9   	18382.4   
2808.989708	9.12564e+06	9.12269e+06	9.30527e+06	9.32393e+06	37063     	28066.4   	14081.4   	13593.5   	18965.3   
2902.622665	9.45813e+06	9.46138e+06	9.66349e+06	9.68287e+06	37962.8   	29191.6   	14449.9   	13989.9   	19540.1   
2996.255622	9.78812e+06	9.79846e+06	1.00215e+07	1.00416e+07	38843.7   	30323.1   	14811.3   	14380.2   	20106.6   
3089.888579	1.01143e+07	1.0133e+07	1.0379e+07	1.03999e+07	39698.4   	31463.9   	15163.1   	14761.7   	20661.3   
3183.521536	1.04402e+07	1.04675e+07	1.07366e+07	1.07581e+07	40551.9   	32605.2   	15514.5   	15142.8   	21215.5   
